Date,Headline,Source
22-Apr-24,PML-N looks to take early lead in by-polls,Dawn
22-Apr-24,Two Customs men slain in another attack in Dera Ismail Khan,Dawn
22-Apr-24,"Ministries, divisions ordered to return surplus funds by May 15",Dawn
22-Apr-24,Iranian president arrives for three-day visit today,Dawn
22-Apr-24,Aurangzeb expects PIA privatisation by end of June,Dawn
22-Apr-24,"Zardari has presidential immunity', NAB tells court in Thatta water supply case",Express Tribune
22-Apr-24,"PTI calls by-polls a 'farce', announces countrywide protests",Express Tribune
22-Apr-24,PTI slams ECP for dropping the ball on by-polls,Express Tribune
22-Apr-24,PML-N's win in by-polls symbol of a people's trust,Express Tribune
22-Apr-24,"Pakistan, Iran to wage joint fight against terrorism",Express Tribune
22-Apr-24,"Punjab CM approves 50,000 free solar power systems for protected consumers",The News
22-Apr-24,"Will Karachi, Lahore receive rains amid new spell starting April 24?",The News
22-Apr-24,Seven-day ban imposed on drone cameras in Karachi ahead of Iranian President Raisi's visit,The News
22-Apr-24,"Sindh to 'monitor markets, e-tag offenders' to curb street crimes",The News
22-Apr-24,Iranian president's visit: Public holiday announced in Lahore today,The News
22-Apr-24,"Security forces gun down 11 terrorists in DI Khan, North Waziristan",The News
22-Apr-24,New police chief assumes charge in Islamabad,The News
22-Apr-24,Nawaz Sharif to embark on five-day visit to China,The News
22-Apr-24,Which Karachi roads will be closed on April 23?,The News
22-Apr-24,PML-N clinches victory in by-polls,The News
22-Apr-24,"Pakistan, Iran to increase trade volume to $10bn, says President Raisi",The News
23-Apr-24,"Pakistan, Iran eye lofty $10bn trade target",Dawn
23-Apr-24,"13 terrorists killed in KP, Balochistan in 48 hours",Dawn
23-Apr-24,"Why wasn't cipher shown to trial court, IHC judge asks FIA",Dawn
23-Apr-24,IHC full court to take up meddling issue today,Dawn
23-Apr-24,PML-N bags dozen seats out of 21 up for grabs in by-elections,Dawn
23-Apr-24,NA witnesses rare give-and-takegoodwill gestures,Dawn
23-Apr-24,"NA revives membership of SIC's Dasti, Khan",Express Tribune
23-Apr-24,"Zardari, Raisi discuss Gaza, bilateral ties",Express Tribune
23-Apr-24,SC grapples with unprecedented caseload,Express Tribune
23-Apr-24,PM office bonuses raise IMF concerns,Express Tribune
23-Apr-24,Iranian president's visit: Karachi main arteries partially reopen for traffic,The News
23-Apr-24,"Three terrorists killed, another detained in Pishin IBO",The News
23-Apr-24,IHC full court to suggest SC meddling in court's affairs should get 'institutional response',The News
23-Apr-24,Missing persons issue: Law minister calls for 'political solution' besides legal remedies,The News
23-Apr-24,River Ravi issue: Tarar says Pakistan cannot move ICJ against India's 'water aggression',The News
23-Apr-24,Imran Khan did not receive govt's message for dialogue: PTI chairman,The News
23-Apr-24,Karachi Traffic Police extend roads closure timing,The News
23-Apr-24,"President Raisi terms Pak-Iran ties historic, unbreakable",The News
23-Apr-24,VIDEO: Nani Mandir visitor spots rare Persian leopard in Balochistan,The News
23-Apr-24,Barrister Gohar says Bushra Bibi's deteriorating health requires 'serious attention',The News
23-Apr-24,CTD kills 8 terrorists involved in attacks on Customs personnel in DI Khan,The News
23-Apr-24,"Army chief meets President Raisi, seeks improved coordination with Iran against terrorists",The News
23-Apr-24,VIDEO: Why did Pakistani karate fighter slap Indian rival ahead of Dubai clash?,The News
23-Apr-24,Iranian President Raisi pays visit to Allama Iqbal's mausoleum in Lahore,The News
23-Apr-24,Karachi administration closes roads ahead of Iranian president's arrival,The News
23-Apr-24,Washington warns Islamabad against 'potential risk of sanctions' amid Iran deals,The News
23-Apr-24,"PTI cries foul in by-polls, announces nationwide protests",The News
23-Apr-24,US hints at 'potential risk of sanctions' amid Pak-Iran trade agreements,The Nation
23-Apr-24,"Pakistan, Iran to enhance trade volume to $10b",The Nation
23-Apr-24,We were 10 runs short of a defendable total in 3rd T20I defeat: Babar Azam,The Nation
24-Apr-24,Civility returns to NA on private members day,Dawn
24-Apr-24,SC asked to put National Action Plan into action,Dawn
24-Apr-24,"ECP cannot undo decisions post-election, LHC rules",Dawn
24-Apr-24,Cipher case judge may be repatriated over misconduct,Dawn
24-Apr-24,PTI denies secret talks with establishment,Dawn
24-Apr-24,Over half of Pakistan does not have access to internet,Dawn
24-Apr-24,Balochistan varsity staff rally for pay,Dawn
24-Apr-24,One killed in rocket attack at PPP’s election office in Kohlu,Dawn
24-Apr-24,"Balochistan govt irked by poor law, order despite Rs55bn expense",Dawn
24-Apr-24,PM seeks UK's help to improve education sector,Dawn
24-Apr-24,"CPEC-II phase promotes joint ventures, PM",Express Tribune
24-Apr-24,Cop martyred while protecting Peshawar Sikh healer,Express Tribune
24-Apr-24,Flip-flops over Nawaz's China trip raise eyebrows,Express Tribune
24-Apr-24,"Challenges marred by-elections, says FAFEN",Express Tribune
24-Apr-24,"Country's economy on the right track, says finance minister",Express Tribune
24-Apr-24,ECP served notice on K-P CM’s ‘polls rigging’ pleas,Express Tribune
24-Apr-24,Dr Jamileh calls for promotion of Islamic culture,Express Tribune
24-Apr-24,SC says wife to benefit if Nikahnama terms unclear,Express Tribune
24-Apr-24,SC petition calls for NAP enforcement,Express Tribune
24-Apr-24,Burger murder: Karachi teen 'killed for eating buddy's girlfriend’s fast food',The News
24-Apr-24,Woman driver 'nabbed' for ramming car into Motorway police,The News
24-Apr-24,ECP rejects PTI's March 3 intra-party polls citing 'irregularities',The News
24-Apr-24,Earthquake shakes Karachi's Malir,The News
24-Apr-24,"Tania Aidrus joins Digital Pakistan project, yet again",The News
24-Apr-24,"Pakistan, Iran vow to turn common frontier into 'border of prosperity'",The News
24-Apr-24,Military courts' trial: SC asks judges committee to review bench after objection,The News
24-Apr-24,"Maryam Nawaz prefers 'simplicity', says minister on CM's clothing choice",The News
24-Apr-24,"‘No compromises’ on resolving Sindh’s problems, Shehbaz assures CM Murad",The News
24-Apr-24,SC urged to form full court over claims of alleged interference in judicial matters,The News
24-Apr-24,"Re-polling stopped after Kohlu's PB-9 struck with rocket, landmine explosion",The News
24-Apr-24,Van drivers drop schoolchildren home amid blocked roads in Karachi,The News
24-Apr-24,President Raisi held 'productive discussions' in maiden Pakistan visit: FO,The News
24-Apr-24,"Earthquake jolts Karachi, adjoining areas",The Nation
24-Apr-24,"Blome upbeat about Pak-IMF talks, commends counterterrorism efforts",The Nation
24-Apr-24,PTI seeks Ejaz Chaudhary's production orders for Senate session,The Nation
24-Apr-24,Kundi stresses need to strengthen democracy,The Nation
24-Apr-24,Missing Baloch students: IHC raises question over accountability in intel agencies,The Nation
24-Apr-24,"Sanam Javed, Aliya Hamza handed over to police on six-day physical remand",The Nation
24-Apr-24,"Pakistan, Portugal eye closer ties across multiple fronts",The Nation
24-Apr-24,Two injured as train derails near Sargodha,The Nation
24-Apr-24,"President Zardari emphasises stronger economic, cultural ties with China",The Nation
24-Apr-24,"Businessmen want PM Shehbaz to reconcile with PTI founder, improve ties with India",The Nation
